0,1,2,3,4,5,6,7,8,9,10
"(0, 1)","(0, 10)","(0, 2)","(0, 9)","(0, 6)","(1, 2)","(1, 3)","(1, 10)","(2, 3)","(2, 4)","(3, 4)","(3, 5)","(3, 7)","(4, 5)","(4, 6)","(5, 6)","(5, 7)","(6, 7)","(7, 9)","(8, 9)","(8, 10)","(9, 10)"
72,20
3,0,2,1
4,1,3,2
0,3,1,2,9,7,10,6,5,4
0,5,6,4,2,3,1,7,9,10
0,5,6,10,3,1,7,9,2,4
1,3,0,2
1,4,2,3,0,6,5,7,9,10
1,5,3,0,6,2,7,4,9,10
1,6,0,9,10,7,3,4,5,2
1,7,3,0,6,9,2,5,4,10
2,3,0,1
2,5,3,4,0,6,1,7,9,10
2,7,3,0,6,9,1,4,5,10
5,3,0,6,2,1,7,4,9,10
7,0,6,9,4,5,3,2,1,10
7,3,0,6,9,2,1,5,4,10
9,3,7,4,6,0,5,2,1,10
0,1,8,10,9
2,4,3,0,6,1,5,7,9,10
6,4,5,2,0,3,1,7,9,10
