0,1,2,3,4,5,6,7,8,9
"(0, 2)","(0, 8)","(0, 5)","(0, 9)","(0, 1)","(0, 3)","(1, 2)","(1, 3)","(1, 5)","(1, 9)","(2, 5)","(2, 8)","(2, 7)","(2, 3)","(2, 4)","(2, 6)","(3, 4)","(3, 8)","(3, 9)","(3, 7)","(3, 6)","(4, 5)","(4, 8)","(4, 7)","(5, 9)","(5, 7)","(6, 7)","(6, 8)","(7, 8)","(8, 9)"
88,40
4,1,3,5,2,9,7,0,8
6,1,2,3
7,1,2,3,5,4,9,0,8
0,4,2,8,5,3,7,9,1
0,8,1,2,3,9,5,4,7
2,4,1,3,5,9,7,0,8
2,6,1,3
2,7,1,3,5,4,9,0,8
3,4,1,5,2,0,9,7,8
3,6,1,2
3,7,1,2,5,4,0,9,8
5,4,1,3,2,9,7,0,8
5,7,1,2,3,4,9,0,8
8,4,1,0,2,3,9,5,7
8,6,0,2,3
8,7,1,0,2,3,9,5,4
0,1,9,2,5,3,8,4,7
0,2,5
0,2,8,1,3,9,5,4,7
0,3,8,1,2,9,5,4,7
0,5,9
0,9,8,2,5,3,1,4,7
1,2,5
1,3,9
1,5,9
2,3,4,6,8,7
2,3,7,1,5,4,0,9,8
2,5,4,3,0,9,1,7,8
2,5,7,3,4,0,9,1,8
2,8,4,1,0,3,9,5,7
2,8,6,0,3
2,8,7,1,0,3,9,5,4
3,8,4,1,0,2,9,5,7
3,8,6,0,2
3,8,7,1,0,2,9,5,4
2,3,4,7,6,8
2,3,6,7,1,5,4,0,9,8
2,3,8,4,6,7
2,3,8,7,1,0,9,5,4
2,3,8,6,7,1,0,9,5,4
