0,1,2,3,4,5,6,7,8,9,10
"(0, 1)","(0, 10)","(0, 2)","(0, 9)","(0, 3)","(1, 3)","(1, 10)","(1, 9)","(1, 8)","(1, 5)","(2, 3)","(2, 4)","(2, 10)","(2, 7)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(5, 6)","(5, 7)","(5, 9)","(6, 7)","(6, 8)","(6, 9)","(7, 8)","(7, 10)","(8, 9)","(8, 10)","(9, 10)"
63,34
4,0,3,2
5,0,3,1,9,6,8,7,4,10,2
6,1,5,8,3,9,4,7,0,2,10
7,1,8,5,10,3,9,6,4,0,2
8,0,9,10,1
0,1,2,3,10,7,8,5,9,4,6
0,2,1,3,10,7,8,5,9,4,6
1,5,2,0,3,10,4,7,9,8,6
1,8,0,9,10
2,4,0,3
2,5,3,4,7,1,0,10,8,9,6
2,6,3,4,7,1,0,10,5,8,9
2,7,1,3,0,10,8,5,4,6,9
3,4,0,2
3,5,0,1,9,6,8,7,4,10,2
3,6,1,5,8,9,4,7,0,2,10
3,7,1,8,5,10,6,4,9,0,2
9,5,0,3,1,6,8,7,4,10,2
9,6,4,8,5,7,1,10,3,2,0
9,8,0,10,1
10,7,1,8,5,3,9,6,4,2,0
10,8,0,9,1
0,2,3,1,10,7,8,5,9,4,6
0,9,1,7,10,2,3,8,6,5,4
0,10,1,7,2,3,8,5,4,6,9
0,10,2,8,1,9,4,7,3,5,6
1,8,9,0,10
1,10,8,0,9
2,3,7,1,0,10,8,5,9,4,6
2,10,7,3,0,1,8,5,4,6,9
9,10,8,0,1
0,9,10,1,7,2,3,8,6,5,4
1,8,9,10
2,3,4,7,1,0,10,5,8,9,6
