0,1,2,3,4,5,6,7,8,9,10,11
"(0, 1)","(0, 3)","(0, 9)","(0, 4)","(0, 5)","(0, 2)","(1, 3)","(1, 10)","(1, 6)","(1, 9)","(1, 5)","(2, 3)","(2, 8)","(2, 10)","(2, 9)","(2, 6)","(3, 5)","(3, 9)","(3, 8)","(3, 10)","(3, 4)","(3, 11)","(4, 6)","(4, 5)","(4, 11)","(4, 9)","(5, 7)","(5, 6)","(5, 11)","(5, 8)","(6, 11)","(7, 8)","(7, 9)","(7, 10)","(9, 10)","(10, 11)"
89,43
6,0,4,1,5,2,9,3,10,8,7,11
7,4,5,9,3,0,1,8,10,6,2,11
8,0,2,3,5,6,4,1,11,9,10,7
10,0,9,1,2,3,6,11,4,5,7,8
11,0,4,5,3
0,1,2,3,10,6,9,5,4,11,8,7
0,2,1,3,10,9,6,5,4,11,8,7
0,4,2,6,9,3,1,5,11,10,8,7
1,6,4,0,3,9,5,2,11,7,10,8
1,10,2,0,3,6,9,4,5,11,7,8
2,8,1,3,0,10,9,6,5,4,11,7
2,10,1,3,0,9,6,5,4,11,8,7
3,8,0,2,5,6,4,1,11,9,10,7
3,10,0,9,1,2,6,4,5,11,7,8
3,11,0,4,5
4,6,3,1,5,11,2,0,9,10,8,7
4,8,5,3,10,11,9,7,2,1,6,0
4,11,0,5,3
5,6,0,4,1,2,9,3,10,8,7,11
5,7,4,9,0,3,1,8,10,6,2,11
5,8,0,2,3,6,4,1,11,9,10,7
5,11,0,4,3
9,7,8,3,2,5,10,4,0,1,6,11
9,10,0,1,2,3,6,4,11,5,7,8
0,1,3,4,6,9,5,2,11,7,10,8
0,2,3,8,5,6,4,1,11,9,10,7
0,3,4,2,6,9,1,5,11,10,8,7
0,5,1,2,3,6,8,10,9,4,11,7
0,5,4,2,3,6,8,9,1,11,7,10
0,9,1,2,3,10,6,5,4,11,7,8
0,9,2,1,3,10,6,5,4,11,7,8
0,9,4,2,6,3,1,5,11,10,7,8
1,3,10,8,5,7,2,11,6,0,9,4
1,9,10,2,0,3,6,4,5,11,7,8
2,3,10,8,7,9,5,0,4,1,6,11
2,9,10,1,3,0,6,5,4,11,8,7
3,4,11,0,5
3,5,8,0,2,6,4,1,11,9,10,7
3,5,11,0,4
3,9,10,0,1,2,6,4,5,11,7,8
4,5,6,10,11,9,3,7,1,2,0,8
4,5,11,0,3
0,3,4,5,10,1,9,2,11,7,6,8
