0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 1)","(0, 11)","(0, 7)","(0, 10)","(0, 12)","(1, 7)","(1, 5)","(1, 9)","(2, 4)","(2, 11)","(2, 12)","(3, 4)","(3, 5)","(3, 10)","(4, 5)","(4, 6)","(4, 9)","(5, 7)","(6, 7)","(6, 10)","(7, 9)","(8, 9)","(8, 10)","(9, 12)","(10, 11)","(11, 12)"
91,36
4,0,3,10,6,5,7,9,1,2,11,12,8
5,0,7,1
9,0,7,1,12
0,1,4,5,7,9,12,11,2,6,10,3,8
0,2,11,12,9,1,7,4,5,6,3,10,8
0,3,10,7,5,6,1,4,9,2,11,12,8
0,6,7,10,11
1,3,5,6,7,4,10,9,0,8,12,11,2
2,3,4,1,5,9,12,11,0,7,10,6,8
2,4,1,5,9,12,11,0,7,3,10,6,8
3,4,1,5,9,7,6,10,0,8,12,11,2
6,2,4,1,7,5,9,12,11,0,3,10,8
6,3,4,10,1,7,5,9,0,8,12,11,2
6,4,0,7,10,3,5,9,1,2,11,12,8
7,3,5,0,10,1,6,4,9,2,11,12,8
7,5,0,1
8,0,10,2,9,4,12,11,7,1,3,6,5
8,1,9,6,10,7,4,0,3,5,12,11,2
8,6,10,9,7,4,0,5,3,1,12,11,2
8,7,9,0,10,1,12,6,11,4,2,5,3
8,9,0,10,7,1,12,6,11,4,2,3,5
9,0,7,1,12,10,8,6,11,4,2,3,5
9,1,6,7,4,5
10,1,0,5,3,7,6,4,9,2,11,12,8
11,1,0,5,10,3,7,2,4,6,9,12,8
11,4,2,1,0,5,9,12,7,6,10,3,8
12,4,2,9,10,11,0,3,6,8,1,5,7
0,3,10,8,9,1,7,12,4,5,6,11,2
0,6,7,10,1,9,12,4,8,11,2,3,5
0,7,1,4,5,9,12,11,2,6,10,3,8
8,3,10,11
10,11,1,0,5,3,7,2,4,6,9,12,8
10,11,12,0,1,9,8,7,6,4,2,3,5
11,0,3,10,7,5,6,4,2,1,9,12,8
11,7,0,1,5,10,3,2,4,6,9,12,8
11,8,10,0,2,9,4,12,7,1,3,6,5
