0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(0, 3)","(0, 6)","(0, 9)","(1, 2)","(1, 9)","(1, 12)","(1, 13)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(2, 4)","(2, 5)","(2, 7)","(2, 8)","(2, 9)","(2, 12)","(2, 13)","(2, 16)","(2, 17)","(2, 18)","(2, 19)","(3, 8)","(3, 11)","(3, 19)","(4, 6)","(4, 7)","(4, 8)","(4, 11)","(4, 13)","(4, 14)","(4, 16)","(4, 17)","(5, 8)","(5, 9)","(5, 13)","(6, 7)","(6, 8)","(6, 10)","(6, 13)","(6, 14)","(6, 16)","(6, 19)","(7, 8)","(7, 11)","(7, 13)","(7, 14)","(7, 16)","(8, 12)","(8, 13)","(8, 17)","(9, 12)","(9, 14)","(9, 15)","(9, 17)","(9, 18)","(9, 19)","(10, 11)","(10, 16)","(11, 12)","(11, 19)","(12, 13)","(12, 16)","(13, 17)","(13, 18)","(13, 19)","(14, 19)","(16, 17)","(17, 18)"
240,90
8,1,2,12,13,17,9,16,5,18,19,4,6,7,3,11,14,0,10
11,0,3
14,0,6,9,19,3,8,4,7,2,5,12,17,13,11,16,1,18,10
15,5,9
19,0,3,6,9,8,14,2,13,5,12,17,4,7,16,1,18,11,10
0,3,10,6,11,8,19,4,7,12,2,13,9,14,16,1,5,17,18
0,4,6,5,9,2,8,13,14,17,19,12,1,18,7,16,3,11,10
0,5,9,1,2,13,6,12,17,18,19,8,14,16,4,7,11,3,10
0,6,3,8,19,2,13,9,4,7,16,1,5,12,17,18,14,11,10
0,4,6,7,12,9,2,8,11,13,16,14,17,19,5,1,18,3,10
0,4,6,8,3,11,19,7,10,12,9,2,13,14,16,1,17,5,18
0,4,6,13,5,9,2,8,14,17,19,1,12,18,7,16,3,11,10
0,4,6,16,5,9,2,8,13,14,17,19,1,12,18,7,3,11,10
1,2,0,9
2,4,3,8,19,11,6,13,7,12,14,16,0,10,1,9,17,5,18
2,7,3,8,19,11,6,13,4,12,14,16,0,10,1,9,17,5,18
2,8,3,19,6,13,4,7,16,0,11,14,12,17,1,10,9,5,18
3,8,4,11,7,12,2,13,16,19,1,6,17,10,0,14,9,5,18
4,5,2,8,13,6,7,16,19,11,14,12,17,1,9,3,10,18,0
5,7,2,8,13,3,11,19,4,12,9,6,14,16,17,1,18,0,10
5,8,1,2,9,13,12,17,18,19,16,3,6,11,4,7,0,10,14
6,8,3,0,19,9,2,13,14,5,12,17,1,18,4,7,16,11,10
7,0,6,3,8,11,19,4,12,2,13,10,14,9,16,17,1,5,18
7,0,6,13,3,8,11,19,4,12,2,10,14,9,16,17,1,5,18
7,0,6,16,3,8,11,19,1,2,4,12,17,10,13,14,9,5,18
