0,1,2,3,4,5,6,7,8,9,10
"(0, 1)","(0, 6)","(0, 5)","(0, 2)","(0, 9)","(0, 8)","(0, 3)","(0, 4)","(0, 10)","(1, 6)","(1, 2)","(1, 3)","(1, 7)","(1, 10)","(1, 4)","(1, 5)","(2, 8)","(2, 7)","(2, 3)","(2, 4)","(2, 5)","(2, 10)","(2, 6)","(3, 6)","(3, 9)","(3, 4)","(3, 8)","(3, 7)","(4, 5)","(4, 10)","(4, 9)","(4, 6)","(4, 7)","(5, 10)","(5, 7)","(5, 8)","(5, 9)","(6, 7)","(6, 8)","(7, 8)","(7, 9)","(8, 9)","(8, 10)","(9, 10)"
230,90
7,0,2,8,6,5,9,1,4,3,10
0,8,1,2,7,3,6,10,5,9,4
0,9,2,3,8,4,7,10,5,1,6
1,7,0,2,8,6,5,9,4,3,10
2,7,0,8,6,5,9,1,4,3,10
3,7,0,2,8,6,5,9,1,4,10
4,7,0,2,8,6,5,9,1,3,10
5,7,0,2,8,6,9,1,4,3,10
6,7,0,2,8,5,9,1,4,3,10
8,7,1,2,3,6,10,0,5,9,4
9,7,2,3,8,4,10,0,5,1,6
0,2,8,1,7,3,6,10,5,9,4
0,3,8,1,2,7,6,10,5,9,4
0,3,9,2,8,4,7,10,5,6,1
0,4,9,2,3,8,7,10,5,1,6
0,5,8,1,2,7,3,6,10,9,4
0,5,9,3,4,7,2,1,8,10,6
0,6,8,1,2,7,3,10,5,9,4
0,10,8,1,2,7,3,6,5,9,4
0,10,9,3,4,8,1,2,5,6,7
1,2,7,0,8,6,5,9,4,3,10
1,3,7,0,2,8,6,5,9,4,10
1,4,7,0,2,8,6,5,9,3,10
1,5,7,0,2,8,6,9,4,3,10
1,6,7,0,2,8,5,9,4,3,10
2,3,7,0,8,6,5,9,1,4,10
2,4,7,0,8,6,5,9,1,3,10
2,5,7,0,8,6,9,1,4,3,10
2,6,7,0,8,5,9,1,4,3,10
2,8,7,1,3,6,10,0,5,9,4
3,4,7,0,2,8,6,5,9,1,10
3,6,7,0,2,8,5,9,1,4,10
3,8,7,1,2,6,10,0,5,4,9
3,9,7,2,8,4,10,0,5,6,1
4,5,7,0,2,8,6,9,1,3,10
4,6,7,0,2,8,5,9,1,3,10
4,9,7,2,3,8,10,0,5,1,6
5,8,7,1,2,3,6,10,0,9,4
5,9,7,3,4,0,2,1,8,10,6
6,8,7,1,2,3,10,0,5,9,4
8,9,0,2,3,4,7,10,5,1,6
8,9,7,2,3,4,10,0,5,1,6
0,1,2,5,3,4,7,8,9,10,6
0,1,2,10,3,4,9,8,5,6,7
0,2,3,8,5,9,4,1,7,10,6
0,2,5,8,9,7,3,4,10,6,1
0,2,6,8,1,7,3,10,5,9,4
0,2,10,8,4,7,9,3,6,5,1
0,3,6,8,1,2,7,10,5,9,4
0,4,5,9,8,3,10,2,6,7,1
0,4,10,9,3,8,1,2,7,6,5
0,5,10,8,1,2,7,3,6,9,4
0,5,10,9,3,4,7,2,1,8,6
1,2,3,7,0,8,6,5,9,4,10
1,2,4,7,0,8,6,5,9,3,10
1,2,5,7,3,4,0,8,9,10,6
1,2,6,7,0,8,5,9,4,3,10
1,3,4,7,0,2,8,6,5,9,10
1,3,6,7,0,2,8,5,9,4,10
1,4,5,7,0,2,8,6,9,3,10
1,4,6,7,0,2,8,5,9,3,10
2,3,4,7,0,8,6,5,9,1,10
2,3,6,7,0,8,5,9,1,4,10
2,3,8,7,5,9,4,1,0,10,6
2,4,5,7,0,8,6,9,1,3,10
2,4,6,7,0,8,5,9,1,3,10
2,5,8,10
2,6,8,7,1,3,10,0,5,9,4
3,4,6,7,0,2,8,5,9,1,10
3,6,8,7,1,2,10,0,5,4,9
4,5,9,10
5,8,9,0,7,1,6,2,3,4,10
5,8,9,10
8,9,10,0,4,2,7,3,6,5,1
0,1,2,3,4,5,9,8,7,10,6
0,1,2,3,6
0,1,2,4,5,9,3,7,10,8,6
0,1,2,4,6
0,1,2,4,10,3,9,8,7,5,6
0,1,3,4,6
0,1,4,5,10
0,1,5,10,2,3,4,7,8,9,6
0,2,3,4,6
0,2,4,5,10
1,2,3,4,7,5,9,8,0,10,6
1,2,3,6,7,0,8,5,9,4,10
1,2,4,5,10
1,2,4,6,7,0,8,5,9,3,10
1,3,4,6,7,0,2,8,5,9,10
2,3,4,6,7,0,8,5,9,1,10
