0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 11)","(0, 8)","(0, 6)","(0, 5)","(0, 4)","(0, 9)","(1, 12)","(1, 4)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 6)","(2, 5)","(2, 12)","(2, 6)","(2, 11)","(2, 9)","(3, 5)","(3, 6)","(3, 9)","(3, 10)","(3, 8)","(4, 11)","(4, 5)","(4, 12)","(4, 8)","(5, 7)","(5, 8)","(6, 10)","(6, 11)","(6, 7)","(7, 9)","(7, 11)","(7, 12)","(8, 10)","(8, 11)","(9, 10)","(10, 12)"
78,40
0,3,8,6,5,9,10,1,11,2,7,12,4
1,3,8,9,10,6,0,11,7,2,4,5,12
2,4,5,12,11,7,8,0,9,6,1,10,3
3,2,5,6,9,7,0,10,1,11,12,8,4
7,0,5,9,11,6,3,2,8,4,10,1,12
10,0,9,8,6,3,1,7,2,11,5,4,12
0,4,3,8,6,5,9,10,1,11,2,7,12
1,4,7,11,5,12,6,8,0,2,3,10,9
5,0,3,8,6,9,10,1,11,2,7,12,4
5,3,2,6,9,0,7,10,1,8,11,4,12
6,0,10,8,9,1,3,11,7,2,4,12,5
6,1,5,3,2,0,7,4,8,9,10,12,11
6,2,10,12,9,1,7,3,0,8,4,5,11
6,3,9,2,10,0,7,1,5,12,11,8,4
6,7,0,5,9,11,3,2,8,4,10,1,12
6,10,0,9,8,7,3,1,2,11,12,5,4
7,1,5,4,8,11,12,6,0,2,10,3,9
8,0,3,6,5,9,10,11,1,2,7,12,4
8,1,3,9,10,6,0,7,2,11,4,5,12
8,3,2,5,11,6,9,7,4,0,10,1,12
8,10,0,9,6,3,1,7,2,11,5,4,12
9,1,6,10,7,3,2,0,12,8,5,11,4
9,3,8,10,1,0,6,4,5,2,7,11,12
9,7,0,5,11,6,3,2,8,4,10,1,12
9,10,0,8,6,1,3,11,2,7,4,12,5
10,1,3,8,9,6,0,11,7,2,4,5,12
11,0,3,6,8,5,9,10,1,2,7,4,12
11,2,5,0,4,7,8,6,9,12,1,3,10
11,7,5,0,4,2,8,6,9,1,12,3,10
12,1,3,10,8,9,6,4,0,11,7,2,5
0,4,5,7,11,6,9,1,12,2,8,3,10
1,4,8,9,0,10,3,6,5,12,11,2,7
5,8,0,3,6,9,2,7,10,11,1,12,4
5,8,3,2,11,6,9,0,4,7,10,1,12
8,0,4,3,6,5,9,10,11,1,2,7,12
8,10,1,3,9,6,0,7,2,11,4,5,12
8,11,0,3,6,5,9,10,1,2,7,4,12
8,11,4
11,0,4,7,6,5,9,1,12,3,2,10,8
12,1,4,7,11,5,2,6,8,0,9,10,3
