0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 12)","(0, 2)","(0, 11)","(0, 8)","(1, 2)","(1, 3)","(1, 12)","(1, 5)","(2, 4)","(2, 7)","(3, 4)","(3, 5)","(4, 5)","(4, 6)","(5, 7)","(6, 7)","(6, 8)","(7, 8)","(7, 9)","(8, 9)","(8, 10)","(9, 11)","(9, 12)","(10, 11)","(10, 12)","(11, 12)"
64,28
0,1,12,2
1,0,2,12
3,0,4,2,1,12,5,7,8,6,9,10,11
4,1,3,5,2,7,6
5,0,4,2,7,1,8,12,6,3,9,10,11
7,1,5,2,4,6,3
0,1,12,2,10,11,8,7,9,5,4,3,6
3,1,0,4,2,12,5,7,8,6,9,10,11
4,0,2,10,6,8,12,11,1,7,9,5,3
5,1,0,4,2,7,8,12,3,6,9,10,11
6,3,4,0,8,2,1,12,7,5,9,10,11
8,0,1,7,5,2,9,12,10,4,11,6,3
8,4,6,9,5,7,2,1,0,12,10,3,11
8,5,7,6,4,2,0,1,12,10,9,3,11
9,1,12,10,8,11,7,5,2,0,4,6,3
9,5,7,6,8,4,2,1,0,12,3,10,11
9,7,1,12,5,2,0,4,11,8,6,3,10
10,1,12,2,11,0,8,7,9,5,4,6,3
10,3,12,1,9,11,8,5,7,0,6,4,2
10,6,8,3,12,1,4,7,5,0,9,2,11
11,0,1,12,2
11,3,12,1,9,5,7,2,0,4,8,6,10
11,7,9,10,8,12,0,2,1,5,4,6,3
12,3,1,4,0,2,5,7,8,9,6,10,11
12,5,1,2,0,4,7,8,3,6,9,10,11
12,7,9,10,8,11,0,2,1,5,4,3,6
8,6,7,5,4,2,0,1,12,10,9,3,11
11,1,12,10,2,0,8,7,9,5,4,3,6
