0,1,2,3,4,5,6,7,8,9
"(0, 1)","(0, 9)","(0, 2)","(0, 3)","(0, 7)","(1, 2)","(1, 3)","(1, 9)","(1, 4)","(1, 8)","(2, 4)","(2, 5)","(2, 9)","(2, 7)","(2, 3)","(2, 8)","(3, 4)","(3, 6)","(4, 5)","(4, 6)","(4, 7)","(5, 6)","(5, 7)","(5, 8)","(6, 7)","(6, 8)","(6, 9)","(7, 8)","(7, 9)","(8, 9)"
72,34
4,0,3,2,1,7,6,9,8,5
5,0,7,2
6,2,5,7,4,8,3,9,0,1
8,0,7,9,1,2,4,5,6,3
0,7,1,8,9,4,2,6,5,3
1,4,0,3,2,7,6,8,9,5
1,8,0,7,9,2,4,5,6,3
2,4,0,3,1,7,6,9,8,5
2,8,0,7,9,1,4,5,6,3
3,4,0,2,1,7,9,8,6,5
3,6,2,5,7,4,8,9,0,1
7,4,1,8,9,0,2,6,5,3
7,5,0,2
7,6,3,4,0,2,1,9,5,8
7,8,1,9,4,0,2,6,5,3
9,6,5,8,7,2,4,3,1,0
9,8,0,7,1,2,4,6,5,3
0,1,3
0,1,9
0,2,3
0,2,7,4,1,3,9,8,6,5
0,9,7,1,8,4,2,6,5,3
1,2,4,0,3,7,6,8,9,5
1,2,8,7,0,9,4,3,6,5
1,3,4,0,2,7,8,9,6,5
1,9,8,0,7,2,4,6,5,3
2,3,4,0,1,7,9,8,6,5
2,5,4,6,9,7,3,8,1,0
2,7,4,3,6,0,5,8,9,1
2,7,8,4,6,5,1,3,9,0
2,9,8,0,7,1,4,6,5,3
7,6,4,3,0,2,9,1,5,8
7,9,6,5,8,2,4,3,1,0
7,9,8,1,4,0,2,6,5,3
