0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"(0, 1)","(0, 2)","(0, 3)","(0, 5)","(0, 8)","(0, 10)","(0, 13)","(0, 14)","(0, 15)","(1, 2)","(1, 3)","(1, 4)","(1, 6)","(1, 7)","(1, 8)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(2, 4)","(2, 5)","(2, 8)","(2, 11)","(2, 12)","(2, 16)","(3, 4)","(3, 5)","(3, 6)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(3, 14)","(3, 15)","(3, 16)","(3, 17)","(4, 6)","(4, 7)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 13)","(4, 14)","(4, 16)","(4, 17)","(5, 6)","(5, 7)","(5, 10)","(5, 11)","(5, 12)","(6, 8)","(6, 11)","(6, 12)","(6, 13)","(6, 14)","(6, 15)","(6, 17)","(7, 8)","(7, 9)","(7, 10)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(7, 16)","(7, 17)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(8, 15)","(8, 16)","(8, 17)","(9, 10)","(9, 11)","(9, 13)","(9, 14)","(9, 15)","(9, 16)","(9, 17)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(10, 15)","(10, 17)","(11, 15)","(11, 17)","(12, 13)","(12, 14)","(12, 16)","(12, 17)","(13, 14)","(13, 16)","(13, 17)","(14, 15)","(15, 16)","(15, 17)","(16, 17)"
578,415
4,0,1,2,3,10,13,14,5,11,12,16,8,6,7,15,9,17
6,0,1,3,5,8,13,14,15,2,7,10,11,12,9,16,17,4
7,0,1,5,8,10,13,14,15,2,3,6,11,12,9,16,17,4
9,2,4,8,11,16,1,6,7,10,12,13,14,17,3,15,5,0
11,0,1,2,3,5,8,10,15,6,7,12,4,16,9,13,14,17
12,0,1,2,3,5,8,10,13,14,6,7,11,4,16,9,15,17
16,0,1,2,3,8,13,15,4,5,11,12,6,9,10,14,17,7
17,0,1,3,8,10,13,15,6,9,11,12,14,16,7,5,4,2
0,5,1,2,3,6,7,10,11,12,4,16,8,9,13,14,15,17
1,4,0,2,3,10,13,14,5,11,12,16,8,6,7,15,9,17
1,6,2,4,5,8,11,12,3,7,10,9,13,14,16,17,0,15
1,7,3,4,5,9,10,12,13,14,15,16,17,2,6,11,0,8
1,11,0,2,3,5,8,10,15,4,12,16,6,9,13,14,17,7
1,12,0,2,3,5,8,10,13,14,4,11,16,6,9,15,17,7
1,16,0,2,3,8,13,15,4,5,11,12,6,9,10,14,17,7
1,17,2,4,8,11,12,16,6,7,9,10,13,14,3,5,15,0
2,4,0,1,3,10,13,14,5,11,12,16,8,6,7,15,9,17
2,11,0,1,3,5,8,10,15,6,7,12,4,16,9,13,14,17
2,12,0,1,3,5,8,10,13,14,6,7,11,4,16,9,15,17
2,16,0,1,3,8,13,15,4,5,11,12,6,9,10,14,17,7
3,4,0,1,2,10,13,14,5,11,12,16,8,6,7,15,9,17
3,6,0,1,5,8,13,14,15,2,7,10,11,12,9,16,17,4
3,9,2,0,1,4,5,11,12,16,8,10,13,14,15,7,17,6
3,11,0,1,2,5,8,10,15,6,7,12,4,16,9,13,14,17
3,12,0,1,2,5,8,10,13,14,6,7,11,4,16,9,15,17
3,16,0,1,2,8,13,15,4,5,11,12,6,9,10,14,17,7
3,17,0,1,8,10,13,15,6,9,11,12,14,16,7,5,4,2
5,6,2,1,4,8,11,12,0,3,7,10,9,13,14,16,17,15
5,7,9,3,10,11,1,4,12,13,14,15,16,17,8,0,2,6
5,11,1,0,2,3,6,7,10,12,8,15,13,14,4,16,9,17
5,12,1,0,2,3,6,7,10,11,8,13,14,15,4,16,9,17
