0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 1)","(0, 4)","(0, 8)","(0, 2)","(0, 6)","(0, 9)","(1, 2)","(1, 10)","(1, 3)","(1, 5)","(1, 6)","(2, 8)","(2, 7)","(2, 3)","(2, 4)","(2, 9)","(3, 8)","(3, 4)","(3, 12)","(3, 5)","(3, 7)","(3, 10)","(3, 11)","(4, 6)","(4, 11)","(4, 8)","(4, 12)","(5, 10)","(5, 9)","(5, 12)","(5, 6)","(6, 12)","(6, 10)","(6, 8)","(7, 12)","(8, 9)","(8, 10)","(9, 11)","(11, 12)"
90,43
3,0,8,4,2,1,6,10,12,5,7,9,11
5,0,9,1,6,2,8,3,4,10,11,12,7
7,1,2,3
10,0,6,1,8,2,3,4,12,5,7,9,11
11,0,9,4,8,2,3,1,5,6,10,12,7
0,4,1,3,2,6,8,12,5,10,9,7,11
0,7,2,8,3,4,1,12,6,10,5,9,11
0,8,1,2,3,6,10,4,12,5,7,9,11
0,9,1,5,2,6,3,8,4,12,10,11,7
1,3,0,8,4,2,6,10,12,5,7,9,11
1,5,2,9,3,0,8,11,6,4,10,12,7
1,10,2,8,3,6,0,4,12,5,7,9,11
1,11,3,9,0,2,5,8,4,6,12,10,7
2,3,0,8,4,1,6,10,12,5,7,9,11
4,3,1,0,2,6,8,12,10,5,9,7,11
4,11,2,9,3,8,0,5,6,10,1,12,7
6,5,0,9,1,8,2,3,10,4,12,11,7
6,10,0,1,8,2,3,4,12,5,7,9,11
6,12,0,4
8,3,1,2,6,10,0,4,12,5,7,9,11
8,10,2,1,3,0,6,4,12,5,7,9,11
9,7,2
12,3,1,6,5,10,4,8,0,2,9,7,11
0,2,4,7,3,12,8,1,6,10,5,9,11
0,2,8,3,1,4,10,6,12,5,7,9,11
0,2,9,6,1,8,4,5,10,3,11,12,7
0,6,4,7,2,12,3,1,8,5,10,9,11
0,6,8,3,1,4,2,12,10,5,7,9,11
1,2,3,6,8,4,0,12,5,10,9,7,11
1,5,3,9,0,2,8,11,6,4,10,12,7
1,6,5,9,0,2,8,4,3,10,12,11,7
1,6,10,4,0,2,3,8,12,5,7,9,11
1,10,3,4,0,2,6,8,12,5,7,9,11
2,4,3,6,1,8,0,12,5,10,9,7,11
2,7,3,0,8,4,1,6,10,12,5,9,11
2,8,3,1,6,10,0,4,12,5,7,9,11
2,8,9
4,6,8
4,8,0,1,3,2,6,10,12,5,7,9,11
4,8,3,1,0,2,6,10,12,5,7,9,11
4,11,3,10,6,8,12,1,5,9,0,2,7
4,12,3,1,0,2,6,5,8,9,7,10,11
8,9,0,1,2,3,6,10,5,4,11,12,7
