0,1,2,3,4,5,6,7,8
"(0, 6)","(0, 5)","(0, 3)","(1, 2)","(1, 8)","(1, 4)","(2, 4)","(2, 6)","(3, 6)","(3, 8)","(3, 5)","(4, 5)","(4, 6)","(5, 8)","(5, 7)","(6, 7)","(6, 8)","(7, 8)"
38,19
0,1,6,4,5,8,3,2,7
1,0,2,6,8,4,5,3,7
4,0,5,6,8,3,7,1,2
7,0,6,5,4,8,3,1,2
8,0,6,5,3,7,4,1,2
0,2,6,1,4,5,8,3,7
1,2,3,8,6,4,5,0,7
2,3,6
2,4,0,6,5,7,8,3,1
3,0,1,8,6,4,5,2,7
4,1,0,5,6,2,8,3,7
5,0,2,4,6,7,8,3,1
5,4,1,8,6,7,0,3,2
6,0,1,4,8,2,5,3,7
6,4,1,8,2,5,0,3,7
6,7,1,4,8,2,5,0,3
6,8,2,1,4,5,0,3,7
8,1,2,6,4,5,0,3,7
3,6,0,1,8,4,2,5,7
