0,1,2,3,4,5,6,7,8
"(0, 1)","(0, 8)","(0, 2)","(0, 7)","(0, 4)","(1, 3)","(1, 8)","(1, 5)","(2, 4)","(2, 5)","(2, 3)","(2, 6)","(3, 4)","(4, 6)","(5, 6)","(5, 7)","(6, 7)","(7, 8)"
42,21
3,0,4,1,2,5,7,6,8
5,0,7,1,2,8,6,3,4
6,0,7,4,2,5,1,8,3
0,1,7,8,5,2,3,6,4
0,2,3,1,4,5,7,6,8
0,4,1,3,2,5,7,6,8
0,7,6,2,4,5,1,8,3
1,3,7,0,8,5,4,6,2
1,5,4,0,3,6,2,7,8
2,3,1,0,5,4,7,6,8
2,5,3,1,0,7,4,6,8
2,6,1,0,5,3,7,4,8
2,8,0,3,1,4,5,7,6
4,3,1,0,2,5,6,7,8
4,6,1,3,0,5,2,7,8
4,8,0,1,3,2,5,6,7
7,5,4,6,0,2,1,8,3
7,6,4,0,2,5,1,8,3
0,2,4,7,5,6,1,3,8
2,3,4,5,1,6,0,7,8
2,4,6,1,0,5,3,7,8
