0,1,2,3,4,5,6,7,8,9
"(0, 5)","(0, 1)","(0, 9)","(0, 2)","(0, 4)","(1, 7)","(1, 5)","(1, 2)","(1, 6)","(1, 3)","(2, 6)","(2, 8)","(2, 4)","(2, 7)","(2, 3)","(3, 8)","(3, 7)","(3, 4)","(3, 5)","(3, 6)","(4, 8)","(4, 9)","(4, 5)","(4, 6)","(5, 6)","(5, 7)","(6, 8)","(6, 9)","(7, 8)","(8, 9)"
62,34
3,0,4,2,1,5,6,7,9,8
6,0,2,5,4,1,9,7,3,8
7,0,1,2,5,6,4,3,8,9
8,1,3,7,2,6,5,4,0,9
0,4,1,3,2,5,6,7,9,8
0,9,3,5,1,2,4,8,6,7
1,3,0,4,2,5,6,7,9,8
1,6,0,2,5,4,9,7,3,8
1,7,0,2,5,6,4,3,8,9
2,3,0,4,1,5,6,7,9,8
2,6,0,5,4,1,9,3,7,8
2,7,0,1,5,6,4,3,8,9
2,8,1,3,7,6,5,0,4,9
4,3,1,2,5,6,0,7,9,8
4,6,1,3,2,5,0,7,9,8
4,8,1,3,2,5,6,0,7,9
5,3,0,4,2,1,6,7,9,8
5,6,0,2,4,1,9,7,3,8
5,7,0,1,2,6,4,3,8,9
1,2,3,5,6,4,7,0,8,9
1,2,6,0,5,4,9,3,7,8
1,2,7,0,5,6,4,3,8,9
1,5,3,4,0,2,6,9,7,8
1,5,6,2,0,4,3,7,9,8
1,5,7,2,0,6,4,3,9,8
2,4,3,5,6,1,7,0,8,9
2,4,6,1,3,5,0,7,9,8
2,4,8,1,3,5,6,0,7,9
2,8,3,1,7,6,5,0,4,9
4,5,3,2,0,1,6,7,9,8
4,5,6,2,0,1,3,7,9,8
4,9,6,2,8,0,5,1,3,7
2,4,3,6,7,8,5,1,0,9
2,4,8,3,5,6,1,7,0,9
