0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"(0, 3)","(0, 4)","(0, 6)","(0, 7)","(0, 8)","(0, 12)","(1, 3)","(1, 4)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 13)","(1, 14)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(3, 7)","(3, 10)","(3, 11)","(3, 13)","(3, 14)","(4, 7)","(4, 8)","(4, 11)","(4, 13)","(4, 14)","(5, 9)","(5, 11)","(6, 7)","(6, 8)","(6, 10)","(6, 12)","(6, 13)","(7, 9)","(7, 11)","(7, 12)","(8, 9)","(8, 10)","(8, 11)","(9, 10)","(9, 11)","(10, 13)","(10, 14)","(11, 14)","(12, 13)","(13, 14)"
86,46
0,2,6,7,8,1,4,9,11,3,14,13,5,10,12
1,2,6,7,8,0,4,9,11,3,13,5,10,14,12
2,1,6,7,8,0,4,9,11,3,13,5,10,14,12
5,0,2,6,7,9,11,8,3,4,1,10,13,14,12
9,0,7,8,1,2,4,6,11,3,14,5,13,10,12
10,1,3,6,8,9,13,14,0,7,11,4,12,2,5
11,2,5,7,8,9,0,1,4,6,10,3,14,13,12
13,0,3,4,6,12,1,7,11,14,10,8,9,2,5
14,0,3,4,1,7,11,13,6,8,9,12,10,2,5
0,3,6,1,7,10,13,4,8,9,14,12,11,2,5
1,3,6,0,7,10,13,4,8,12,9,14,11,2,5
3,5,11,13,2,6,9,1,10,4,14,7,8,0,12
4,0,6,1,7,8,13,3,2,9,11,12,10,14,5
4,1,6,0,7,8,13,3,12,2,9,11,10,14,5
4,5,11,13,2,6,9,1,10,3,14,7,8,0,12
4,11,3,0,1,7,13,14,8,6,12,9,10,2,5
6,0,5,2,3,11,4,7,8,9,1,10,13,14,12
6,1,5,2,9,7,8,10,11,0,4,3,13,14,12
6,2,4,0,1,7,8,13,3,12,9,11,10,14,5
6,10,1,3,8,9,13,14,0,7,11,4,12,2,5
6,13,0,3,4,12,1,7,10,11,14,8,9,2,5
7,0,2,6,8,1,4,9,11,3,14,13,5,10,12
7,1,2,6,8,0,4,9,11,3,13,5,10,14,12
7,2,1,6,8,0,4,9,11,3,13,5,10,14,12
7,9,0,8,1,2,4,6,11,3,14,5,13,10,12
7,11,2,5,8,9,0,1,4,6,10,3,14,13,12
8,0,3,1,10,11,4,6,7,9,13,14,2,12,5
8,1,3,0,10,11,4,6,7,9,13,14,2,12,5
8,2,5,9,11,7,0,1,4,6,3,14,13,10,12
8,9,0,7,1,2,4,6,11,3,14,5,13,10,12
8,10,1,3,6,9,13,14,0,11,7,4,12,2,5
8,11,3,0,1,10,4,7,6,9,14,13,2,12,5
9,1,4,7,8,11,0,2,6,3,14,5,10,13,12
11,3,4,0,1,7,13,14,8,6,12,9,10,2,5
12,0,5,6,2,7,9,11,3,4,8,1,10,13,14
13,1,2,6,7,8,3,4,12,0,9,11,10,14,5
14,1,2,6,10,13,7,3,4,11,8,5,0,9,12
6,0,7,11,8,3,4,1,2,9,10,13,14,5,12
6,7,2,11,8,5,0,1,4,9,3,14,13,10,12
6,8,0,11,7,3,4,1,2,9,10,13,14,5,12
6,8,2,9,1,7,10,5,3,13,14,0,4,11,12
6,8,10,1,3,9,13,14,0,7,11,4,12,2,5
6,12,0,5,2,7,9,11,3,4,8,1,10,13,14
7,12,0,5,2,9,11,6,3,4,8,1,10,13,14
13,1,3,12,6,7,0,10,4,8,9,14,11,2,5
14,1,3,12,13,6,7,0,4,10,11,8,9,2,5
