0,1,2,3,4,5,6,7,8,9,10
"(0, 6)","(0, 5)","(0, 7)","(0, 8)","(0, 10)","(1, 4)","(1, 9)","(1, 7)","(2, 10)","(2, 3)","(2, 8)","(2, 5)","(3, 7)","(3, 4)","(3, 6)","(4, 10)","(4, 7)","(5, 10)","(5, 6)","(6, 9)","(7, 10)","(9, 10)"
59,16
0,1,7,6,9,3,10,4,5,2,8
0,4,7,10,3,6,2,9,5,8,1
0,5,1,7,10,4,9,6,3,2,8
1,4,2,10,9,7,3,6,5,0,8
2,3,1,10,4,7,9,6,5,0,8
3,4,0,7,6,10,9,5,2,1,8
5,7,10,0,3,2,6,4,8,9,1
6,0,2,5,3,8,10,7,4,9,1
8,7,0
9,1,3,6,4,7,0,10,2,5,8
10,0,1,4,7,9,6,5,3,2,8
5,6,0,8,2,3,10,7,4,9,1
5,10,0,1,4,7,9,6,3,2,8
7,0,10,3,6,2,4,9,5,8,1
7,1,4,2,10,3,9,6,0,5,8
7,3,4,0,6,10,9,5,2,1,8
