0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(0, 1)","(0, 15)","(0, 2)","(0, 14)","(0, 3)","(0, 13)","(0, 4)","(0, 12)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 13)","(1, 7)","(2, 4)","(2, 5)","(2, 15)","(2, 6)","(2, 10)","(2, 3)","(3, 15)","(3, 14)","(3, 4)","(3, 8)","(3, 10)","(3, 11)","(4, 5)","(4, 6)","(4, 8)","(4, 15)","(4, 14)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 14)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 15)","(7, 9)","(7, 10)","(7, 11)","(8, 9)","(8, 12)","(8, 14)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(10, 11)","(10, 13)","(10, 14)","(11, 12)","(11, 13)","(11, 14)","(11, 15)","(12, 13)","(12, 14)","(12, 15)","(13, 14)","(13, 15)","(14, 15)"
172,83
5,0,4,2,1,14,15,10,3,13,6,11,9,7,8,12
6,0,4,2,15
7,0,1
8,2,6,5,4,3,10,15,1,14,9,7,11,13,12,0
10,1,7,13,2,3,9,11,6,5,15,0,14,8,12,4
11,2,10,15,3,13,6,14,0,1,9,7,4,8,5,12
1,5,0,4,2,14,15,10,3,13,6,11,7,9,8,12
1,13
2,5,0,4,1,14,3,13,15,10,8,11,9,6,7,12
2,6,0,4,15
2,10,1,7,13,3,6,5,9,11,15,0,14,4,8,12
3,8,2,6,5,4,10,15,1,14,9,7,11,13,12,0
3,10,1,7,13,2,11,9,6,5,14,15,0,12,8,4
3,11,2,10,15,13,6,14,0,1,9,4,8,7,5,12
4,5,0,2,1,14,15,10,3,13,6,11,9,7,8,12
4,6,0,2,15
4,8,2,6,5,3,10,15,1,14,9,7,11,13,12,0
9,5,3,8,10,11,4,2,1,14,6,12,7,13,15,0
12,8,7,11,9,6,5,14,3,10,15,13,4,0,1,2
13,10,8,12,14,9,6,3,11,15,0,5,4,2,1,7
13,11,8,12,14,9,3,15,0,10,5,1,6,4,2,7
14,0,2,15,10,3,5,4,13,11,6,9,7,1,8,12
14,5,3,4,2,8,1,0,15,10,6,13,12,11,9,7
14,8,2,15,0,10,3,5,4,6,12,13,11,1,9,7
14,10,2,15,0,3,5,4,13,11,6,1,8,7,9,12
14,11,2,15,0,10,3,5,4,13,6,12,1,9,7,8
15,0,1,13,2,3,4,10,14,11,6,7,5,12,9,8
15,6,0,4,2
15,11,2,10,3,13,6,14,0,1,9,7,4,8,5,12
0,1,13,11,15,14,3,12,7,2,4,6,5,10,8,9
0,2,15,1,13,3,4,10,14,11,6,7,5,12,9,8
0,3,14,2,15,10,5,4,13,11,6,9,7,1,8,12
0,3,15,1,13,2,4,14,11,10,5,12,7,6,8,9
0,4,14,2,15,10,3,5,13,11,6,9,7,1,8,12
0,4,15,1,13,2,3,14,10,11,5,6,7,12,9,8
1,2,5,3,4,8,14,6,13,0,15,10,7,9,11,12
1,4,5,0,2,14,15,10,3,13,6,11,7,9,8,12
2,4,5,0,1,14,3,13,15,10,8,11,9,6,7,12
2,15,6,0,4
3,4,8,13,1,0,15,14,10,11,9,12,5,2,7,6
3,14,8,2,15,0,10,5,4,6,12,13,11,1,9,7
3,14,10,9,8,11,13,12,5,6,7,15,0,1,4,2
3,14,11,2,15,0,10,5,4,13,6,12,1,9,7,8
3,15,11,2,10,13,6,14,0,1,9,4,8,7,5,12
4,14,5,7,6,1,11,10,8,15,2,9,0,3,13,12
