0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 11)","(0, 12)","(1, 2)","(1, 3)","(1, 5)","(1, 6)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(2, 4)","(2, 6)","(2, 7)","(2, 9)","(2, 10)","(2, 11)","(3, 4)","(3, 5)","(3, 7)","(3, 8)","(3, 10)","(3, 11)","(3, 12)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(5, 7)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(6, 7)","(6, 8)","(7, 8)","(7, 9)","(7, 11)","(7, 12)","(8, 9)","(8, 10)","(8, 11)","(9, 10)","(9, 11)","(9, 12)","(10, 11)","(10, 12)","(11, 12)"
378,180
10,0,1,2,3,4,5,8,9,11,12,6,7
0,4,1,2,3,5,6,8,9,10,11,7,12
0,7,1,2,3,5,6,8,9,11,4,10,12
0,12,2,7,9,10,11,3,4,5,8,1,6
1,10,0,2,3,4,5,8,9,11,12,7,6
2,10,0,1,3,4,5,8,9,11,12,6,7
3,10,0,1,2,4,5,8,9,11,12,6,7
4,10,1,0,2,3,5,6,8,9,11,12,7
5,10,0,1,2,3,4,8,9,11,12,6,7
8,10,0,1,2,3,4,5,9,11,12,6,7
9,10,0,1,2,3,4,5,8,11,12,6,7
11,10,0,1,2,3,4,5,8,9,12,6,7
12,10,2,0,7,9,11,1,3,4,5,8,6
0,1,2,5,4,7,9,10,11,3,6,8,12
0,1,3,4,2,5,6,8,9,10,11,7,12
0,1,5,2,4,7,9,10,11,3,6,8,12
0,1,8,2,4,6,7,9,10,11,3,5,12
0,2,4,5,1,7,9,10,11,3,6,8,12
0,2,7,3,1,4,10,11,5,6,8,9,12
0,3,4,2,1,7,10,11,5,6,8,9,12
0,3,7,2,1,4,10,11,5,6,8,9,12
0,3,12,4,5,7,9,10,11,2,8,1,6
0,5,4,2,1,7,9,10,11,3,6,8,12
0,5,7,2,1,4,9,10,11,3,6,8,12
0,5,12,2,1,4,7,9,10,11,3,6,8
0,6,4,1,2,3,5,8,9,10,11,7,12
0,6,7,1,2,3,5,8,9,11,4,10,12
0,8,4,2,1,6,7,9,10,11,3,5,12
0,8,7,2,1,4,6,9,10,11,3,5,12
0,9,4,1,2,3,5,6,8,10,11,7,12
0,9,7,1,2,3,5,6,8,11,4,10,12
0,9,12,4,3,5,7,10,11,1,8,2,6
0,11,4,1,2,3,5,6,8,9,10,7,12
0,11,7,1,2,3,5,6,8,9,4,10,12
0,11,12,2,7,9,10,3,4,5,8,1,6
1,2,6
1,2,10,8,0,4,6,7,9,11,3,5,12
1,3,10,4,0,2,5,6,8,9,11,12,7
1,5,10,2,0,4,7,9,11,3,8,12,6
1,6,8
1,8,10,2,0,4,6,7,9,11,3,5,12
1,9,10,0,2,3,4,5,8,11,12,7,6
1,11,10,0,2,3,4,5,8,9,12,7,6
