0,1,2,3,4,5,6,7,8,9,10,11
"(0, 5)","(0, 8)","(0, 6)","(0, 2)","(0, 10)","(0, 11)","(1, 2)","(1, 6)","(1, 7)","(1, 9)","(1, 11)","(2, 5)","(2, 6)","(2, 9)","(2, 3)","(3, 8)","(3, 10)","(3, 9)","(3, 11)","(3, 5)","(3, 4)","(4, 8)","(4, 11)","(4, 5)","(4, 7)","(5, 9)","(5, 10)","(5, 11)","(5, 8)","(6, 7)","(6, 8)","(7, 11)","(7, 8)","(8, 9)","(8, 10)","(9, 10)"
94,63
0,1,6,2,11,7,5,3,8,4,9,10
1,0,2,6,11,5,3,7,9,8,4,10
3,1,2,9,11,5,0,8,10,6,7,4
4,0,8,11,5,3,7,10,2,6,9,1
7,0,11,6,8,1,4,3,5,2,9,10
9,0,5,2,8,10,6,3,1,11,7,4
0,2,4,5,8,11,3,9,6,7,1,10
1,2,5,9,11,3,0,8,10,6,7,4
2,3,1,9,11,5,0,8,10,6,7,4
2,9,0,5,8,10,3,6,11,1,7,4
5,0,1,2,9,11,6,3,8,10,7,4
5,3,1,2,9,11,0,8,10,6,7,4
5,4,1,2,9,11,7,3,0,6,8,10
5,9,1,2,11,3,0,8,10,6,7,4
6,0,1,2,11,5,3,7,8,9,4,10
6,1,0,2,11,5,3,7,8,9,4,10
6,7,0,11,8,1,4,3,5,2,9,10
7,1,0,11,6,8,2,4,3,5,9,10
8,0,4,5,11,7,3,6,10,2,1,9
8,3,2,0,9,6,5,10,11,1,7,4
8,4,2,3,0,9,6,5,10,11,1,7
8,7,3,11,4,5,0,6,2,10,1,9
8,9,2,3,0,6,5,10,11,1,7,4
9,1,0,5,2,8,10,6,11,3,7,4
10,0,4,3,5,8,11,2,7,9,6,1
10,3,2,5,9,0,8,11,6,4,7,1
10,4,3,5,8,7,11,0,2,6,9,1
11,0,4,5,8,3,7,10,2,6,9,1
11,1,3,2,9,5,0,6,8,10,7,4
11,3,2,1,5,0,9,6,8,10,7,4
11,4,0,8,5,3,7,10,2,6,9,1
11,7,0,6,8,1,3,4,5,2,9,10
1,2,6,5,9,11,0,8,3,10,7,4
2,5,3,1,9,11,0,8,10,6,7,4
2,5,9,1,11,3,0,8,10,6,7,4
5,8,0,9,2,10,6,3,1,11,7,4
5,8,3,2,0,9,6,10,11,1,7,4
5,8,4,2,3,0,9,6,10,11,1,7
5,8,9,2,3,0,6,10,11,1,7,4
5,10,0,7,4,11,8,6,3,1,2,9
5,10,3,2,9,0,8,11,6,4,7,1
5,10,9,2,3,0,8,11,6,4,7,1
5,11,3,2,1,0,9,6,8,10,7,4
5,11,4,2,3,1,0,9,8,10,7,6
6,7,1,0,11,8,2,4,3,5,9,10
8,3,4,2,0,9,6,5,10,11,1,7
8,6,0,9,2,1,5,10,3,7,11,4
8,6,7,3,2,11,4,5,9,0,1,10
8,7,4,5,11,3,0,10,2,6,9,1
8,9,3,2,0,6,5,10,11,1,7,4
8,10,0,4,3,5,11,2,7,6,9,1
8,10,3,2,0,9,6,5,11,1,7,4
8,10,9,2,3,0,6,5,11,1,7,4
11,3,4,2,1,5,0,9,7,6,8,10
11,7,1,3,8,4,2,9,0,5,6,10
5,8,3,4,7,11,0,2,10,6,9,1
5,8,9,3,2,0,6,10,11,1,7,4
5,8,10,3,2,0,9,6,11,1,7,4
5,8,10,9,2,3,0,6,11,1,7,4
5,10,9,3,2,0,8,11,6,4,7,1
8,9,3,4,5,7,1,11,6,2,0,10
8,10,9,3,2,0,6,5,11,1,7,4
5,8,10,9,3,2,0,6,11,1,7,4
